Nazwa produktu;kcal;bia³ka;t³uszcze;wêglowodany
Agrest;41;0.8;0.2;11.8
Amarantus. nasiona;400;14.5;6.5;66.2
Ananas;54;0.4;0.2;13.6
Ananas w syropie;84;0.4;0.1;21
Any¿;337;17.6;16;50
Arbuz;36;0.6;0.1;8.4
Avocado;160;2;15.3;7.4
Bak³a¿an;21;1.1;0.1;6.3
Baleron;244;15.1;20.2;0.9
Banan;95;1;0.3;23.5
Banany suszone;360;3.8;1.1;88.8
Bazylia suszona;251;14.3;4;61
Bazylia œwie¿a;23;3.2;0.64;2.7
Bia³a rzodkiew;14;1;0;3
Bia³ko jajka kurzego;49;10.9;0.2;0.7
Bób;66;7.1;0.4;14
Boæwina;17;2.1;0.5;5.5
Boczek wêdzony;477;13;47;0
Botwinka;17;2.1;0.5;5.5
Broku³y;27;3;0.4;5.2
Brukselka;37;4.7;0.5;8.7
Brzoskwinia;46;1;0.2;11.9
Brzoskwinia w syropie;73;0.4;0.1;18.2
Bu³ka owsiana;304;9.3;4.5;58.4
Bu³ka pszenna zwyk³a;273;8.1;1.5;57.7
Bu³ka sojowa;315;10.1;4;61.1
Bu³ka tarta;347;9.7;1.9;77.6
Bu³ka wroc³awskia;294;8;4.4;56.6
Burak;38;1.8;0.1;9.5
Cebula;30;1.4;0.4;6.9
Cebula czerwona;30;1.4;0.4;6.9
Cebula konserwowa;52;0.7;0.2;12.4
Cebulka dymka;30;1.4;0.4;6.9
Chili;40;0.4;0.1;1.8
Chleb chrupki;353;8.7;2.4;78.9
Chleb pszenny;257;8.5;1.4;54.3
Chleb zwyk³y;248;6.1;1.3;56.3
Chleb ¿ytni pe³noziarnisty;225;6.8;1.8;53.8
Chleb ¿ytni razowy;213;5.9;1.7;51.2
Chrzan;67;4.5;0.6;18.1
Ciecierzyca konserwowa;127;6;3;18
Cieciorka;364;19.3;6;60.6
Cielêcina ³opatka;106;19.9;2.8;0
Cielêcina sznyclówka;105;20.5;2.4;0
Cielêcina udziec;108;19.9;3.1;0
Cukier;405;0;0;99.8
Cukier br¹zowy;380;0.12;0;98
Cukier puder;387;0;0;100
Cukinia;15;1.2;0.1;3.2
Curry;325;13;14;58
Æwik³a;40;1.6;0.1;10.2
Cykoria;21;1.7;0.2;4.1
Cynamon;247;4;1.2;81
Cytryna;36;0.8;0.3;9.5
Czekolada gorzka;554;6.7;34.3;56.6
Czereœnie;61;1;0.3;14.6
Czerwona fasola konserwowa ;87;8.1;0.6;12.3
Czosnek;146;6.4;0.5;32.6
Czosnek granulowany;331;17;0.73;73
Daktyle suszone;277;2;0.4;74
Dorsz filety bez skóry;70;16.5;0.3;0
Dynia;28;1.3;0.3;7.7
D¿em jagodowy niskos³odzony;153;0.3;0.2;38.2
D¿em œliwkowy niskos³odzony;153;0.3;0.1;37.9
D¿em truskawkowy niskos³odzony;153;0.3;0.2;37.8
D¿em wiœniowy niskos³odzony;154;0.4;0.2;37.5
Ekstrakt z wanilii;288;0.03;0;14
Estragon;295;23;7.2;50
Fasola bia³a suche nasiona;288;21.4;1.6;61.6
Fasola ciêta. konserwowa. bez zalewy;16;1.5;0.2;4.5
Fasola szparagowa;27;2.4;0.2;7.6
Fasolka szparagowa. mro¿onka;24;2.2;0.2;6.8
Figi suszone;290;3.6;1.2;78
Filet z makreli w sosie pomidorowym;150;13.1;9;4
Fl¹dra œwie¿a;83;16.5;1.8;0
Ga³ka muszkato³owa;475;6.7;32;50
GoŸdzik;323;6;20;61
Grahamka;252;9;1.7;56.1
Granat;83;1.7;1.2;18.7
Grejpfrut;36;0.6;0.2;9.8
Grejpfrut czerwony;42;0.8;0.1;10.7
Grejpfrut zielony;36;0.6;0.2;9.8
Groch suche nasiona;293;23.8;1.4;60.2
Groszek ptysiowy;476;14.9;30.2;37.6
Groszek zielony;75;6.7;0.4;17
Groszek zielony konserwowy;63;4.9;0.2;15.8
Gruszka;54;0.6;0.2;14.4
Grzyby suszone;284;9.3;0.7;73
Halibut œwie¿y;98;20.1;1.9;0
Herbata bez cukru;0;0.1;0;0
Imbir;347;9.1;6;71
Jab³ka suszone;238;2.1;2.1;62.3
Jab³ko;46;0.4;0.4;12.1
Jagody;45;0.8;0.6;12.2
Jajko kurze;139;12.5;9.7;0.6
Jajko przepiórcze;158;13;11;0.4
Jarmu¿;29;3.3;0.7;6.1
Jogurt naturalny 2%;60;4.3;2;6.2
Kabanos;326;27.4;24.3;0
Kabanos z kurczaka;247;22.8;17.4;0.1
Kajzerka;296;8.4;3.6;58.6
Kakao w proszku 16%;448;18.2;21.7;50.6
Kalafior;22;2.4;0.2;5
Kalarepa;29;2.2;0.3;6.5
Kapary;23;2.4;0.9;4.9
Kapusta bia³a;29;1.7;0.2;7.4
Kapusta czerwona;27;1.9;0.2;6.7
Kapusta kwaszona;12;1.1;0.2;3.4
Kapusta pekiñska;12;1.2;0.2;3.2
Kapusta w³oska;38;3.3;0.4;7.8
Kardamon;311;11;6.7;68
Karp œwie¿y;110;18;4.2;0
Kasza gryczana;336;12.6;3.1;69.3
Kasza jaglana;346;10.5;2.9;71.6
Kasza jêczmienna pêczak;334;8.4;2;74.9
Kasza jêczmienna per³owa;327;6.9;2.2;75
Kasza kukurydziana;337;8;1.7;72
Kasza manna;348;8.7;1.3;76.7
Kaszanka jêczmienna;195;8.5;12.6;13
Kawa bez cukru;2;0.2;0;0.3
Keczup;93;1.8;1;22.2
Kefir 2%;51;3.4;2;4.7
Kefir 2% z wapniem;51;3.4;2;4.7
Kie³basa delikatesowa z kurczaka;109;19.6;3.3;0.1
Kie³basa domowa;320;14.7;29.2;0.5
Kie³basa ja³owcowa z kurczaka;236;19;17.9;0.1
Kie³basa kanapkowa z kurczaka;179;11.8;13.5;3
Kie³basa lubuska;249;17.5;18;4.8
Kie³basa parówkowa;323;11;31.5;0
Kie³basa podlaska z kurczaka;232;20.7;16.7;0.1
Kie³basa podsuszana z kurczaka;162;21.7;8.4;0
Kie³basa podwawelska;247;17.3;19.6;0.9
Kie³basa rzeszowska;203;20.9;13.4;0
Kie³basa œl¹ska;210;18.4;15.3;0
Kie³basa sucha krakowska;323;25.6;24.8;0
Kie³basa sucha myœliwska;291;27.8;20.1;0
Kie³basa szynkowa z kurczaka;110;16.2;5;0
Kie³basa toruñska;263;20.9;20.1;0
